2017-11-01 10:57:12.714UTC INFO  success - Status OK 200 [omgusd] BODY[[{"period":1,"volume":"1372770.58738735"},{"period":7,"volume":"4551782.28116811"},{"period":30,"volume":"25770458.54406212"}]]
2017-11-01 10:57:13.051UTC INFO  success - Status OK 200 [btcusd] BODY[[{"period":1,"volume":"53104.58998441"},{"period":7,"volume":"288969.91376299"},{"period":30,"volume":"1339567.31511225"}]]
2017-11-01 10:57:14.049UTC INFO  success - Status OK 200 [ethusd] BODY[[{"period":1,"volume":"99091.09380044"},{"period":7,"volume":"634082.21278563"},{"period":30,"volume":"4369925.85144979"}]]
2017-11-01 10:57:54.068UTC INFO  success - Status OK 200 [ethusd] BODY[[{"period":1,"volume":"99091.09380044"},{"period":7,"volume":"634082.21278563"},{"period":30,"volume":"4369925.85144979"}]]
2017-11-01 10:58:03.306UTC INFO  success - Status OK 200 [omgusd] BODY[[{"period":1,"volume":"1372770.58738735"},{"period":7,"volume":"4551782.28116811"},{"period":30,"volume":"25770458.54406212"}]]
2017-11-01 10:58:08.308UTC INFO  success - Status OK 200 [btcusd] BODY[[{"period":1,"volume":"53104.58998441"},{"period":7,"volume":"288969.91376299"},{"period":30,"volume":"1339567.31511225"}]]
2017-11-01 11:02:07.557UTC INFO  success - Status OK 200 [btcusd] BODY[[{"period":1,"volume":"54150.83132443"},{"period":7,"volume":"289617.10394265"},{"period":30,"volume":"1340503.9748728"}]]
2017-11-01 11:02:11.406UTC INFO  success - Status OK 200 [ethusd] BODY[[{"period":1,"volume":"104241.29735265"},{"period":7,"volume":"638607.71327409"},{"period":30,"volume":"4374838.67383959"}]]
2017-11-01 11:02:17.123UTC INFO  success - Status OK 200 [omgusd] BODY[[{"period":1,"volume":"1372988.27262734"},{"period":7,"volume":"4547456.20359098"},{"period":30,"volume":"25766158.70571908"}]]
2017-11-01 11:04:58.400UTC INFO  success - OK 200 [btcusd] BODY[[{"period":1,"volume":"54150.83132443"},{"period":7,"volume":"289617.10394265"},{"period":30,"volume":"1340503.9748728"}]]
2017-11-01 11:04:58.400UTC INFO  success - OK 200 [ethusd] BODY[[{"period":1,"volume":"104241.29735265"},{"period":7,"volume":"638607.71327409"},{"period":30,"volume":"4374838.67383959"}]]
2017-11-01 11:04:58.400UTC INFO  success - OK 200 [omgusd] BODY[[{"period":1,"volume":"1372988.27262734"},{"period":7,"volume":"4547456.20359098"},{"period":30,"volume":"25766158.70571908"}]]
